year,depth_to_water,longitude,latitude
2023,82.25,-118.41708,34.01244
2023,80.91,-118.41708,34.01244
2023,77.9,-118.41708,34.01244
2022,87.73,-118.41709,34.01246
2022,87.79,-118.41709,34.01246
2022,87.72,-118.41709,34.01246
2022,87.83,-118.41709,34.01246
2022,87.78,-118.41709,34.01246
2022,87.85,-118.41709,34.01246
2022,87.74,-118.41709,34.01246
2022,87.7,-118.41709,34.01246
2022,87.53,-118.41709,34.01246
2022,87.62,-118.41709,34.01246
2022,87.45,-118.41709,34.01246
2023,87.82,-118.41709,34.01246
2023,87.71,-118.41709,34.01246
2023,87.52,-118.41709,34.01246
2023,83.91,-118.41709,34.01246
2023,82.43,-118.41709,34.01246
2023,79.68,-118.41709,34.01246
2022,100.82,-118.41776,34.01197
2022,101.16,-118.41776,34.01197
2022,101.33,-118.41776,34.01197
2022,101.72,-118.41776,34.01197
2022,102.14,-118.41776,34.01197
2022,101.95,-118.41776,34.01197
2022,99.15,-118.41776,34.01197
2022,98.6,-118.41776,34.01197
2022,97.1,-118.41776,34.01197
2022,94.7,-118.41776,34.01197
2023,91.89,-118.41776,34.01197
2023,87.59,-118.41776,34.01197
2023,86.01,-118.41776,34.01197
2023,82.44,-118.41776,34.01197
2023,81.58,-118.41776,34.01197
2023,81.05,-118.41776,34.01197
2022,98.6,-118.41776,34.01198
2022,98.69,-118.41776,34.01198
2022,98.77,-118.41776,34.01198
2022,101.95,-118.41776,34.01198
2022,99.15,-118.41776,34.01198
2022,99.38,-118.41776,34.01198
2022,100.44,-118.41776,34.01198
2022,98.33,-118.41776,34.01198
2022,97.26,-118.41776,34.01198
2022,96.34,-118.41776,34.01198
2023,93.57,-118.41776,34.01198
2023,89.19,-118.41776,34.01198
2023,87.38,-118.41776,34.01198
2023,83.62,-118.41776,34.01198
2023,82.1,-118.41776,34.01198
2022,101.53,-118.41792,34.01219
2022,101.88,-118.41792,34.01219
2022,102.14,-118.41792,34.01219
